Fold_date,Total_points,Total_Folders
11-Jul-2025 12 UTC,4355.35,535
11-Jul-2025 00 UTC,4157.59,522
10-Jul-2025 12 UTC,4276.65,519
10-Jul-2025 00 UTC,4292.84,531
09-Jul-2025 12 UTC,4224.86,528
09-Jul-2025 00 UTC,4216.36,520
08-Jul-2025 12 UTC,4372.25,527
08-Jul-2025 00 UTC,4256.32,520
07-Jul-2025 12 UTC,4429.41,516
07-Jul-2025 00 UTC,4327.23,504
06-Jul-2025 12 UTC,4397.11,508
05-Jul-2025 00 UTC,4347.67,528
04-Jul-2025 12 UTC,4379.86,525
04-Jul-2025 00 UTC,4448.06,529
03-Jul-2025 12 UTC,4456.09,521
03-Jul-2025 00 UTC,4514.1,551
02-Jul-2025 12 UTC,4534.14,569
02-Jul-2025 00 UTC,4596.35,537
01-Jul-2025 12 UTC,4480.34,551
01-Jul-2025 00 UTC,4360.75,535
30-Jun-2025 12 UTC,4541.69,543
30-Jun-2025 00 UTC,4483.47,524
29-Jun-2025 12 UTC,4501.1,543
29-Jun-2025 00 UTC,4552.96,538
28-Jun-2025 00 UTC,4401.16,532
27-Jun-2025 12 UTC,4405.2,539
27-Jun-2025 00 UTC,4312.45,539
26-Jun-2025 12 UTC,4486.41,543
26-Jun-2025 00 UTC,4678.2,574
25-Jun-2025 12 UTC,4598.72,568
25-Jun-2025 00 UTC,4198.36,520
24-Jun-2025 12 UTC,4469.25,554
24-Jun-2025 00 UTC,4595.58,561
23-Jun-2025 12 UTC,4110.84,535
23-Jun-2025 00 UTC,4173.11,528
22-Jun-2025 12 UTC,4157.61,511
22-Jun-2025 00 UTC,4134.69,528
21-Jun-2025 12 UTC,3948.99,518
21-Jun-2025 00 UTC,4105.86,535
20-Jun-2025 12 UTC,4076.16,538
20-Jun-2025 00 UTC,4124.85,527
19-Jun-2025 12 UTC,4080.41,550
19-Jun-2025 00 UTC,4310.91,552
18-Jun-2025 12 UTC,4272.53,556
18-Jun-2025 00 UTC,4291.46,564
17-Jun-2025 12 UTC,4315.6,560
17-Jun-2025 00 UTC,4360.15,560
16-Jun-2025 12 UTC,4213.85,555
16-Jun-2025 00 UTC,4190.99,527
15-Jun-2025 12 UTC,4124.46,523
15-Jun-2025 00 UTC,4353.96,533
14-Jun-2025 12 UTC,4099.87,527
14-Jun-2025 00 UTC,4471.93,565
13-Jun-2025 12 UTC,4617.62,565
13-Jun-2025 00 UTC,4620.7,577
12-Jun-2025 12 UTC,4549.92,581
12-Jun-2025 00 UTC,4636.86,569
11-Jun-2025 12 UTC,4628.03,579
11-Jun-2025 00 UTC,4694.73,560
10-Jun-2025 12 UTC,4563.13,587
10-Jun-2025 00 UTC,4444.73,558
09-Jun-2025 12 UTC,4515.67,564
09-Jun-2025 00 UTC,4651.52,553
08-Jun-2025 12 UTC,4737.56,550
08-Jun-2025 00 UTC,4516.88,558
07-Jun-2025 12 UTC,4412.11,543
07-Jun-2025 00 UTC,4906.37,587
06-Jun-2025 12 UTC,4893.95,576
06-Jun-2025 00 UTC,4799.75,597
05-Jun-2025 12 UTC,4556.08,562
05-Jun-2025 00 UTC,4709.29,562
04-Jun-2025 12 UTC,4625.29,571
04-Jun-2025 00 UTC,4975.87,591
03-Jun-2025 12 UTC,4876.71,582
03-Jun-2025 00 UTC,4903.59,582
02-Jun-2025 12 UTC,4563.41,565
02-Jun-2025 00 UTC,4640.34,561
01-Jun-2025 12 UTC,4414.4,534
01-Jun-2025 00 UTC,4912.64,566
31-May-2025 12 UTC,4746.48,562
31-May-2025 00 UTC,4963.01,583
30-May-2025 12 UTC,4992.67,603
30-May-2025 00 UTC,5226.74,611
29-May-2025 12 UTC,5055.54,589
29-May-2025 00 UTC,5193.84,603
28-May-2025 12 UTC,5056.71,601
28-May-2025 00 UTC,5139.09,612
27-May-2025 12 UTC,5120.23,582
27-May-2025 00 UTC,5420.21,619
26-May-2025 12 UTC,5311.67,605
26-May-2025 00 UTC,5321.76,594
25-May-2025 12 UTC,5138.08,575
25-May-2025 00 UTC,5139.77,586
24-May-2025 12 UTC,5220.45,591
24-May-2025 00 UTC,5284.65,632
23-May-2025 12 UTC,5277.2,595
23-May-2025 00 UTC,5297.95,621
22-May-2025 12 UTC,5019.5,620
22-May-2025 00 UTC,5273.14,646
21-May-2025 12 UTC,5040.0,611
21-May-2025 00 UTC,5207.9,616
20-May-2025 12 UTC,5186.71,622
20-May-2025 00 UTC,5277.53,618
19-May-2025 12 UTC,4994.67,594
19-May-2025 00 UTC,5040.58,592
18-May-2025 12 UTC,5044.26,601
18-May-2025 00 UTC,5412.29,618
17-May-2025 12 UTC,5084.46,617
17-May-2025 00 UTC,5332.03,633
16-May-2025 12 UTC,5499.32,640
16-May-2025 00 UTC,5268.12,622
15-May-2025 12 UTC,5374.28,634
15-May-2025 00 UTC,5442.79,638
14-May-2025 12 UTC,5494.83,633
14-May-2025 00 UTC,5325.41,620
13-May-2025 12 UTC,5369.39,630
13-May-2025 00 UTC,5401.93,634
12-May-2025 12 UTC,5040.0,604
12-May-2025 00 UTC,5082.49,587
11-May-2025 12 UTC,5056.43,566
11-May-2025 00 UTC,5270.36,620
10-May-2025 12 UTC,5312.97,593
10-May-2025 00 UTC,5523.51,647
09-May-2025 12 UTC,5314.93,624
09-May-2025 00 UTC,5540.01,650
08-May-2025 12 UTC,5709.36,649
08-May-2025 00 UTC,5643.28,643
07-May-2025 12 UTC,5359.46,646
07-May-2025 00 UTC,5683.75,647
06-May-2025 12 UTC,5514.14,623
06-May-2025 00 UTC,5510.49,646
05-May-2025 12 UTC,6122.09,701
05-May-2025 00 UTC,6312.3,717
04-May-2025 12 UTC,6952.18,756
04-May-2025 00 UTC,7214.24,801
03-May-2025 12 UTC,7431.14,778
03-May-2025 00 UTC,6722.13,735
02-May-2025 12 UTC,6637.51,723
02-May-2025 00 UTC,6650.56,747
01-May-2025 12 UTC,6518.51,738
01-May-2025 00 UTC,6917.01,776
30-Apr-2025 12 UTC,6529.25,750
30-Apr-2025 00 UTC,8663.06,995
29-Apr-2025 12 UTC,7157.58,783
29-Apr-2025 00 UTC,7210.24,766
28-Apr-2025 12 UTC,8249.14,884
28-Apr-2025 00 UTC,8389.65,889
27-Apr-2025 12 UTC,8596.2,919
27-Apr-2025 00 UTC,8903.31,955
26-Apr-2025 12 UTC,8892.03,958
26-Apr-2025 00 UTC,9348.11,1001
25-Apr-2025 12 UTC,9854.39,1048
25-Apr-2025 00 UTC,10618.99,1103
24-Apr-2025 12 UTC,10223.01,1075
24-Apr-2025 00 UTC,10089.65,1059
23-Apr-2025 12 UTC,10069.6,1039
23-Apr-2025 00 UTC,9840.61,1022
22-Apr-2025 12 UTC,9978.86,1035
22-Apr-2025 00 UTC,9270.3,984
21-Apr-2025 12 UTC,9479.6,996
21-Apr-2025 00 UTC,9651.98,979
20-Apr-2025 12 UTC,10058.26,1014
20-Apr-2025 00 UTC,10099.82,1024
19-Apr-2025 12 UTC,10247.19,1048
19-Apr-2025 00 UTC,10406.49,1071
18-Apr-2025 12 UTC,10058.15,1021
18-Apr-2025 00 UTC,10211.77,1040
17-Apr-2025 12 UTC,10239.52,1065
17-Apr-2025 00 UTC,10206.09,1058
16-Apr-2025 12 UTC,10866.53,1107
16-Apr-2025 00 UTC,10782.53,1114
15-Apr-2025 12 UTC,10830.82,1091
15-Apr-2025 00 UTC,10664.0,1122
14-Apr-2025 12 UTC,11198.76,1112
14-Apr-2025 00 UTC,11306.78,1093
13-Apr-2025 12 UTC,11332.48,1117
13-Apr-2025 00 UTC,11357.63,1133
12-Apr-2025 12 UTC,11148.14,1111
12-Apr-2025 00 UTC,11056.87,1117
11-Apr-2025 12 UTC,11777.25,1138
11-Apr-2025 00 UTC,11357.29,1140
10-Apr-2025 12 UTC,11605.75,1149
10-Apr-2025 00 UTC,11646.41,1187
09-Apr-2025 12 UTC,11309.98,1139
09-Apr-2025 00 UTC,11573.63,1165
08-Apr-2025 12 UTC,10426.69,1092
08-Apr-2025 00 UTC,11308.51,1163
07-Apr-2025 12 UTC,11600.9,1148
07-Apr-2025 00 UTC,11119.51,1125
06-Apr-2025 12 UTC,10953.5,1110
06-Apr-2025 00 UTC,11155.81,1158
05-Apr-2025 12 UTC,11027.11,1139
05-Apr-2025 00 UTC,12309.09,1251
04-Apr-2025 12 UTC,12050.31,1177
04-Apr-2025 00 UTC,11739.62,1174
03-Apr-2025 12 UTC,11547.76,1173
03-Apr-2025 00 UTC,11678.23,1169
02-Apr-2025 12 UTC,11338.55,1141
02-Apr-2025 00 UTC,11008.08,1133
01-Apr-2025 12 UTC,11010.95,1125
01-Apr-2025 00 UTC,10961.39,1123
31-Mar-2025 12 UTC,11141.03,1092
31-Mar-2025 00 UTC,11056.87,1088
30-Mar-2025 12 UTC,10448.44,1059
30-Mar-2025 00 UTC,11041.63,1108
29-Mar-2025 12 UTC,10966.79,1084
29-Mar-2025 00 UTC,10895.89,1104
28-Mar-2025 12 UTC,11037.3,1105
28-Mar-2025 00 UTC,11747.44,1162
27-Mar-2025 12 UTC,11708.32,1151
27-Mar-2025 00 UTC,11003.88,1146
26-Mar-2025 12 UTC,11041.72,1098
26-Mar-2025 00 UTC,11254.09,1139
25-Mar-2025 12 UTC,11265.84,1153
25-Mar-2025 00 UTC,11536.75,1155
24-Mar-2025 12 UTC,11002.56,1114
24-Mar-2025 00 UTC,11602.89,1141
23-Mar-2025 12 UTC,11233.18,1100
23-Mar-2025 00 UTC,10635.3,1054
22-Mar-2025 12 UTC,11009.5,1096
22-Mar-2025 00 UTC,11468.06,1143
21-Mar-2025 12 UTC,11337.38,1114
21-Mar-2025 00 UTC,11415.74,1164
20-Mar-2025 12 UTC,11124.09,1145
20-Mar-2025 00 UTC,11992.86,1226
19-Mar-2025 12 UTC,11907.88,1209
19-Mar-2025 00 UTC,11873.32,1146
18-Mar-2025 12 UTC,11762.73,1150
