username,payout,points,total_payout,total_points,total_wus,created_at
839rzkryyyzf,28.97,129239,65802.65,337363279,1470,2021-01-22T22:52:37.961Z
7zvlutbh0gqd,38.11,384798,63.52,465907,11,2022-04-09T01:24:00.224Z
80utud5n6zrt,68.27,1176841,1613.84,26200431,113,2021-11-20T20:45:54.946Z
7zs9tltpozms,49.81,615250,1450.1,19113430,137,2022-04-03T17:49:12.855Z
80sn5i3xn9z0,33.45,312570,3228.43,33364846,114,2022-02-27T21:59:01.456Z
80r9i40u07ca,90.12,2357369,28264.58,381537522,2815,2021-03-03T07:07:54.990Z
7zinll0l438u,39.52,408660,3974.62,41304764,125,2022-01-28T05:37:59.296Z
829cpags8v08,78.59,484759,25361.63,171121169,543,2021-05-02T10:58:32.503Z
82hpuunbkezi,32.23,152958,16410.96,78847294,801,2021-04-27T22:21:07.532Z
7yzeac3cmg8k,23.01,181261,8443.97,62824257,960,2021-05-06T18:57:22.302Z
7xynu4ne9it4,41.06,436390,858.56,7722737,50,2022-04-02T21:50:06.476Z
7yx8zeijewxn,16.63,118289,1196.95,8471767,93,2022-03-04T22:13:36.460Z
7y7wxfptu7av,2.59,7922,1223.13,4843093,115,2021-04-26T02:51:34.185Z
7ymsenka4tys,50.19,623874,12879.17,208637996,879,2021-12-05T07:29:09.359Z
7x76thokwoj6,2.65,6578,705.78,1879049,303,2021-10-30T22:21:06.599Z
7x1gtc3jm1ec,12.56,83800,2370.33,8154702,822,2021-06-10T00:46:37.116Z
7x9tbdn59bio,8.27,51698,22079.07,197242253,875,2021-04-13T11:27:38.688Z
7xnej1w3yilj,4.1,18468,16205.64,7521617,3546,2019-12-28T15:31:39.928Z
7wudqhlp18d5,4.23,5773,6045.92,18007754,3228,2021-04-26T05:45:59.257Z
7wp6h64ot83w,34.28,141969,14933.88,68041987,656,2021-04-27T22:21:57.272Z
7vzf13utj5k9,5.8,34777,116.09,643041,73,2021-12-31T08:25:54.36Z
7vpavzmryky2,2.58,9187,184.01,476276,89,2021-11-02T01:29:14.200Z
7vhrli2ge372,35.72,346620,1724.39,15139037,341,2021-08-25T00:56:40.970Z
7v0dk2hppzwv,2.67,10022,199.22,499269,94,2022-02-12T23:44:24.484Z
7vdn49wymr7v,3.49,11508,30277.72,540541701,3239,2021-04-27T08:01:26.87Z
7uasyz8bphka,2.63,5900,84.17,529956,24,2022-02-25T16:39:42.409Z
7w5sxk0ozuyk,2.66,5652,1895.97,1715783,543,2021-04-15T06:31:44.940Z
7veednnzsc1c,13.59,91840,9260.9,60980824,4081,2021-02-10T17:55:14.70Z
7vabupikjhx6,8.64,185010,13222.29,184347565,2178,2021-02-20T01:43:08.775Z
7tg37ddn1fsr,4.64,10800,12538.49,53423702,3937,2021-05-02T04:28:22.742Z
7tatjxydht2j,51.61,658414,1592.13,19986917,92,2022-03-25T01:58:20.506Z
7s6cgcgpqvpz,43.47,480970,3780.82,38295366,130,2022-01-26T18:20:54.68Z
7tfimke5yr5b,2.97,17105,1188.74,3404784,302,2021-05-09T07:15:28.563Z
7t6eto97p0i1,19.73,147671,1639.9,12894636,149,2021-09-02T03:37:42.842Z
7rtc8ysc7bqr,72.25,1341740,5144.19,90953859,371,2022-03-08T04:29:03.538Z
7tdgr3g1sx4r,2.66,3748,1290.0,3904159,473,2021-07-13T07:35:30.586Z
7ryq18uvj73a,2.79,34868,5476.83,13313584,683,2020-12-10T15:46:14.267Z
7qv256em50vb,2.6,8368,3123.57,16720777,730,2021-05-12T13:45:46.691Z
7r38qgn7x6i3,48.72,590902,8668.59,74505917,257,2021-05-08T12:10:56.159Z
7rnhgavqvwo1,10.84,39430,18253.91,104396189,3270,2021-06-03T16:40:40.270Z
7plvpyxwo6le,22.81,179070,53.06,392309,10,2022-04-16T07:00:53.890Z
7pibr5l99jz2,2.61,3500,49.62,92250,39,2022-02-08T05:49:28.78Z
7pibbeei0m0s,63.92,1016542,2182.62,24924102,157,2021-04-19T04:29:49.451Z
7qtotke2xczi,77.66,580059,37513.39,353349247,2410,2021-06-04T11:16:08.908Z
7qul7w02eyiv,32.64,301128,26851.89,335169110,1540,2021-03-26T15:38:03.616Z
7pau06drvemk,17.93,69713,25756.58,176249179,531,2021-05-02T10:58:53.370Z
7mt26lu89cp4,19.48,145188,2283.08,16705516,191,2021-12-10T19:38:57.287Z
7pibj5hm1qvr,111.94,1300533,59817.61,809554295,4172,2021-06-12T01:34:06.833Z
7ovcv5xc7aq2,29.22,250989,16839.26,172237506,2031,2021-05-09T15:54:10.590Z
7pqoerv0032c,19.6,103810,29667.59,123419645,1603,2021-02-11T21:29:02.512Z
7lz2ownrbl80,80.85,1766563,925.65,17158649,78,2022-04-03T16:21:49.485Z
7mk5s1gse230,47.31,559333,1087.44,10100163,61,2022-02-04T08:40:02.757Z
7lpzsnyovhb0,38.03,383600,3327.74,34986182,119,2022-02-27T22:04:20.455Z
7kdunz57his4,22.09,170853,4785.53,46303990,1046,2021-12-14T11:52:11.376Z
7l7nev58uok1,49.93,617948,30602.48,482728680,3450,2021-06-15T02:07:13.515Z
7m2xk28ddr0y,82.68,1040015,45250.29,586680336,2838,2021-03-10T09:05:15.614Z
7lorvbih9thj,2.61,4298,3302.98,27268769,631,2021-10-30T02:20:30.845Z
7k23kp5pmbvx,4.16,11924,4575.33,12801664,663,2021-03-31T07:01:08.633Z
7m53cun9kixa,63.25,994303,122733.44,768306681,3827,2020-02-21T10:42:26.760Z
7jnkr4m5lbgg,49.31,231701,35028.12,183291134,2799,2021-03-08T15:11:00.567Z
